upgradeContents,upgradeType,upgradeEnhancementSteps,enhancementValue,enhancementFee
IncreaseCatMaximum_1,1,1,8,250
IncreaseCatMaximum_2,1,2,9,1091
IncreaseCatMaximum_3,1,3,10,3911
IncreaseCatMaximum_4,1,4,11,10492
IncreaseCatMaximum_5,1,5,12,31252
IncreaseCatMaximum_6,1,6,13,89435
IncreaseCatMaximum_7,1,7,14,260396
IncreaseCatMaximum_8,1,8,15,755721
IncreaseCatMaximum_9,1,9,16,2206245
IncreaseCatMaximum_10,1,10,17,6465317
IncreaseCatMaximum_11,1,11,18,11780710
IncreaseCatMaximum_12,1,12,19,21622520
IncreaseCatMaximum_13,1,13,20,36044099
IncreaseCatMaximum_14,1,14,21,60031301
IncreaseCatMaximum_15,1,15,22,99899286
IncreaseCatMaximum_16,1,16,23,166115443
IncreaseCatMaximum_17,1,17,24,276019639
IncreaseCatMaximum_18,1,18,25,458320896
IncreaseCatMaximum_19,1,19,26,760527189
IncreaseCatMaximum_20,1,20,27,1261216363
IncreaseCatMaximum_21,1,21,28,2090294175
IncreaseCatMaximum_22,1,22,29,4760834392
IncreaseCatMaximum_23,1,23,30,7165224671
IncreaseCatMaximum_24,1,24,31,11856218880
IncreaseCatMaximum_25,1,25,32,19608726198
IncreaseCatMaximum_26,1,26,33,32415184539
IncreaseCatMaximum_27,1,27,34,53561426565
IncreaseCatMaximum_28,1,28,35,88464359961
IncreaseCatMaximum_29,1,29,36,0
ReduceCollectingTime_1,2,1,2.5,1566
ReduceCollectingTime_2,2,2,2.4,6218
ReduceCollectingTime_3,2,3,2.3,18172
ReduceCollectingTime_4,2,4,2.2,58235
ReduceCollectingTime_5,2,5,2.1,177536
ReduceCollectingTime_6,2,6,2,565825
ReduceCollectingTime_7,2,7,1.9,1708323
ReduceCollectingTime_8,2,8,1.8,5216864
ReduceCollectingTime_9,2,9,1.7,15789098
ReduceCollectingTime_10,2,10,1.6,47812288
ReduceCollectingTime_11,2,11,1.5,0
IncreaseFoodMaximum_1,3,1,5,200
IncreaseFoodMaximum_2,3,2,6,1401
IncreaseFoodMaximum_3,3,3,7,5145
IncreaseFoodMaximum_4,3,4,8,14103
IncreaseFoodMaximum_5,3,5,9,42840
IncreaseFoodMaximum_6,3,6,10,124800
IncreaseFoodMaximum_7,3,7,11,369323
IncreaseFoodMaximum_8,3,8,12,1087958
IncreaseFoodMaximum_9,3,9,13,3220078
IncreaseFoodMaximum_10,3,10,14,9556713
IncreaseFoodMaximum_11,3,11,15,17619395
IncreaseFoodMaximum_12,3,12,16,32693760
IncreaseFoodMaximum_13,3,13,17,55056349
IncreaseFoodMaximum_14,3,14,18,92570732
IncreaseFoodMaximum_15,3,15,19,155423713
IncreaseFoodMaximum_16,3,16,20,260606211
IncreaseFoodMaximum_17,3,17,21,436432590
IncreaseFoodMaximum_18,3,18,22,876056711
IncreaseFoodMaximum_19,3,19,23,1463861708
IncreaseFoodMaximum_20,3,20,24,2443606704
IncreaseFoodMaximum_21,3,21,25,0
ReduceProducingFoodTime_1,4,1,9,1175
ReduceProducingFoodTime_2,4,2,8.5,5919
ReduceProducingFoodTime_3,4,3,8,10049
ReduceProducingFoodTime_4,4,4,7.5,35735
ReduceProducingFoodTime_5,4,5,7,61421
ReduceProducingFoodTime_6,4,6,6.5,87107
ReduceProducingFoodTime_7,4,7,6,112793
ReduceProducingFoodTime_8,4,8,5.5,138479
ReduceProducingFoodTime_9,4,9,5,0
FoodUpgrade_1,5,1,2,387600
FoodUpgrade_2,5,2,3,1051334
FoodUpgrade_3,5,3,4,1759983
FoodUpgrade_4,5,4,5,2942270
FoodUpgrade_5,5,5,6,7950752
FoodUpgrade_6,5,6,7,13261050
FoodUpgrade_7,5,7,8,22097512
FoodUpgrade_8,5,8,9,36790334
FoodUpgrade_9,5,9,10,61203120
FoodUpgrade_10,5,10,11,101738222
FoodUpgrade_11,5,11,12,168999033
FoodUpgrade_12,5,12,13,453920636
FoodUpgrade_13,5,13,14,753021163
FoodUpgrade_14,5,14,15,1248447018
